%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
81779.919,302.372,0.942,0.715,0.241,0.136,-3.243,-2.006,0.642,1.464,1.298,-1.868,-2.349,-2.568,-0.781,0.522,3.803,-3.079,3.979,2.302,0.415,-1.351,-3.070,-0.007,-0.230,0.000,535.048,336.269
81775.888,302.372,0.942,0.420,0.083,0.136,-3.243,-1.003,0.321,1.150,0.649,-1.453,-1.815,-2.354,0.224,0.209,3.170,-2.867,3.770,2.302,0.208,-0.788,-3.070,-0.007,-0.220,0.001,535.048,336.269
81775.888,302.373,0.942,0.420,0.083,0.136,-3.459,-1.337,1.392,0.941,1.081,-1.245,-1.388,-3.424,-0.112,1.774,3.063,-2.655,3.456,1.779,-0.104,-0.563,-3.081,-0.046,-0.230,0.001,535.048,336.269
81779.919,302.372,0.942,0.586,0.162,-0.024,-2.702,-2.006,0.642,1.464,0.324,-1.141,-1.602,-2.675,-0.558,1.044,4.014,-3.504,3.770,2.093,-0.518,-0.900,-3.070,0.012,-0.210,0.001,535.048,336.269
81771.856,302.375,0.942,0.586,0.162,-0.024,-2.918,-1.895,0.535,1.464,0.757,-2.386,-2.669,-2.568,-0.670,1.044,3.380,-2.336,3.036,1.675,-0.104,-1.576,-3.091,-0.046,-0.210,-0.000,535.048,336.269
81767.825,302.373,0.942,0.420,0.083,-0.184,-3.134,-1.226,0.749,0.732,0.973,-1.660,-3.203,-2.675,-0.112,0.939,3.275,-3.079,3.665,1.570,0.104,-0.900,-3.070,-0.026,-0.230,0.001,535.048,336.269
81771.856,302.372,0.942,0.715,0.241,0.136,-4.431,-1.560,0.535,0.418,1.190,-2.075,-1.388,-3.317,-0.781,1.044,2.852,-3.292,3.874,1.674,-0.415,-1.351,-3.081,0.012,-0.220,0.000,535.048,336.269
81779.919,302.376,0.942,0.586,0.162,0.136,-2.810,-2.118,0.856,1.150,0.216,-2.075,-2.563,-2.247,-0.446,0.939,3.803,-3.823,3.874,1.988,-0.415,-1.351,-3.091,-0.007,-0.241,0.000,535.048,336.269
81771.856,302.373,0.942,0.715,0.241,-0.024,-3.242,-1.003,0.214,1.568,0.433,-2.075,-2.029,-2.782,-0.558,0.522,3.169,-2.867,3.141,1.884,0.000,-0.900,-3.060,-0.007,-0.220,0.001,535.048,336.269
81775.888,302.372,0.942,0.586,0.162,-0.184,-3.134,-0.780,0.963,0.314,0.757,-2.075,-2.456,-2.461,-0.335,1.252,3.486,-3.292,3.665,1.256,-0.207,-0.900,-3.060,-0.007,-0.220,0.000,535.048,336.269
