%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83315.880,302.201,0.960,0.327,0.051,-0.216,-2.486,-1.895,1.070,1.673,0.757,-1.660,-2.349,-2.461,-0.893,1.461,3.381,-3.398,3.665,2.616,0.415,-0.900,-0.065,0.032,-0.018,0.001,535.048,336.269
83311.848,302.201,0.960,0.521,0.130,-0.216,-2.918,-0.446,0.642,1.150,0.649,-1.349,-2.029,-2.568,0.224,0.835,3.486,-2.548,3.246,2.302,0.311,-0.675,-0.055,0.032,0.003,0.000,535.048,336.269
83315.880,302.199,0.960,0.000,-0.028,-0.216,-3.026,-0.780,1.499,0.836,0.973,-1.245,-2.563,-2.033,-0.223,1.670,3.064,-3.504,3.875,0.628,0.311,-0.563,-0.075,-0.007,0.023,0.000,535.048,336.269
83307.817,302.201,0.960,0.327,0.051,-0.376,-3.026,-1.226,0.963,1.359,0.324,-1.868,-2.349,-2.996,-0.558,1.566,3.592,-3.504,3.351,1.988,-0.622,-1.013,-0.086,-0.007,0.003,0.001,535.048,336.269
83319.911,302.194,0.961,0.327,0.051,-0.056,-3.134,-1.337,0.856,0.941,1.190,-2.387,-2.563,-2.247,-0.558,1.148,3.275,-2.761,3.875,1.988,0.415,-1.688,-0.075,0.032,0.003,0.000,535.048,336.269
83311.848,302.197,0.960,0.875,0.367,-0.376,-3.567,-1.337,0.642,0.941,0.757,-1.868,-3.097,-2.675,-0.112,0.313,3.486,-3.292,4.084,1.465,-0.415,-1.351,-0.075,0.032,0.003,0.001,535.048,336.269
83311.848,302.199,0.960,0.327,0.051,-0.376,-3.459,-1.226,0.642,0.941,0.108,-1.660,-2.029,-3.103,-0.781,0.939,2.007,-3.398,3.351,1.361,-0.207,-1.576,-0.065,0.032,0.023,0.000,535.048,336.269
83319.911,302.197,0.961,0.327,0.051,-0.536,-3.351,-2.563,0.428,0.836,0.108,-1.972,-2.990,-3.103,-0.558,0.522,3.169,-3.717,3.037,1.675,-0.207,-1.688,-0.065,0.012,0.013,-0.000,535.048,336.269
83311.848,302.199,0.960,0.521,0.130,-0.536,-3.783,-0.780,-0.000,0.941,0.541,-2.491,-2.349,-3.210,0.112,0.522,2.641,-3.292,2.932,1.675,-0.311,-1.238,-0.075,0.012,0.003,0.001,535.048,336.269
83315.880,302.202,0.960,0.521,0.130,-0.536,-3.243,-1.226,0.535,-0.104,0.216,-1.764,-3.097,-3.210,-1.005,0.731,2.641,-3.079,3.246,1.047,-0.311,-0.788,-0.086,-0.007,0.013,0.000,535.048,336.269
83319.911,302.202,0.960,0.521,0.130,-0.536,-3.351,-2.006,0.749,0.732,0.108,-2.075,-2.029,-3.210,-0.558,0.939,2.430,-3.186,3.560,2.093,-0.518,-1.238,-0.075,0.012,0.013,0.000,535.048,336.269
83319.911,302.201,0.960,0.521,0.130,-0.696,-3.351,-2.118,0.214,0.836,0.649,-2.283,-2.776,-2.996,-1.786,1.148,3.063,-3.398,3.560,1.674,0.208,-1.688,-0.065,-0.007,-0.008,-0.000,535.048,336.269
83315.880,302.199,0.960,0.521,0.130,-0.536,-3.351,-1.672,0.107,1.150,0.649,-1.764,-2.883,-3.210,-0.223,0.626,2.852,-3.186,4.084,1.779,-0.000,-0.675,-0.075,0.012,0.013,0.001,535.048,336.269
83315.880,302.194,0.960,0.521,0.130,-0.536,-3.783,-1.783,1.284,-0.000,0.757,-1.868,-2.242,-3.103,-0.335,0.939,2.746,-3.079,3.770,0.942,0.311,-0.788,-0.075,0.032,0.003,0.001,535.048,336.269
