%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83235.252,301.651,0.961,0.796,0.304,-0.104,-3.351,-0.78,1.82,1.777,1.19,-1.453,-1.708,-2.782,-0.223,1.879,3.486,-2.443,4.083,2.721,0.415,-0.788,-2.043,0.117,-0.149,0.001,535.048,336.269
83239.283,301.656,0.961,0.893,0.383,-0.104,-2.594,-1.672,1.392,1.882,1.298,-1.349,-2.136,-2.675,0,1.983,4.332,-2.761,4.188,2.616,0.623,-0.113,-2.053,0.156,-0.16,0.002,535.048,336.269
83239.283,301.654,0.961,0.796,0.304,0.056,-3.459,-0.669,0.963,1.464,0.649,-1.868,-1.815,-2.461,0,0.939,3.275,-1.593,3.35,2.302,0.935,-0.45,-2.053,0.175,-0.139,0,535.048,336.269
83243.315,301.654,0.961,0.796,0.304,0.696,-3.242,-0.669,2.141,1.255,1.406,-1.245,-1.815,-2.354,0.447,2.088,4.226,-1.912,4.607,1.465,1.038,-0.338,-2.043,0.156,-0.16,0.001,535.048,336.269
83231.22,301.657,0.961,0.796,0.304,-0.104,-3.242,-0.892,1.392,1.777,0.865,-1.349,-1.495,-3.103,0.224,2.088,4.226,-2.23,3.874,2.93,0.415,-0.338,-1.991,0.137,-0.16,0,535.048,336.269
83239.283,301.657,0.961,0.893,0.383,0.216,-2.486,-1.56,1.284,1.359,1.514,-1.453,-1.922,-2.033,-0.447,1.983,4.12,-2.549,4.397,2.512,1.142,-0.225,-2.032,0.117,-0.18,0.002,535.048,336.269
83243.315,301.654,0.961,0.796,0.304,0.216,-3.351,-0.557,0.963,2.196,1.081,-0.934,-1.388,-2.354,0.783,1.253,4.331,-2.443,3.874,2.93,0.727,0.226,-2.043,0.156,-0.17,0,535.048,336.269
83231.22,301.654,0.961,0.796,0.304,0.056,-3.134,-1.003,1.392,1.15,1.406,-1.764,-2.136,-2.033,0.336,2.296,3.169,-2.23,3.979,2.093,0.935,-0.338,-2.032,0.156,-0.17,0,535.048,336.269
83247.346,301.656,0.961,0.893,0.383,0.056,-2.702,-1.115,1.713,1.882,0.757,-1.453,-1.602,-2.247,0.336,1.566,4.331,-2.655,4.083,2.826,0,0,-2.064,0.137,-0.16,0.001,535.048,336.269
83235.252,301.656,0.961,0.796,0.304,0.056,-2.918,-0.334,1.713,1.777,1.73,-1.972,-1.281,-2.461,-0.223,1.879,4.015,-2.549,3.246,1.989,1.142,-0.338,-2.032,0.137,-0.18,0.001,535.048,336.269
83247.346,301.654,0.961,0.981,0.462,-0.104,-2.918,-1.003,0.856,1.987,0.865,-0.934,-2.136,-2.675,0.224,1.044,3.909,-2.443,3.769,2.198,0.311,0.226,-2.032,0.156,-0.17,0.001,535.048,336.269
83239.283,301.654,0.961,0.893,0.383,0.216,-3.242,-1.337,1.82,1.777,0.865,-1.661,-1.602,-3.103,-0.781,2.088,3.275,-2.549,4.083,2.198,0.727,0.113,-2.022,0.156,-0.149,0,535.048,336.269
83247.346,301.652,0.961,0.796,0.304,-0.104,-2.918,-1.226,1.284,1.777,0.649,-1.557,-2.029,-2.461,-0.223,1.67,4.648,-3.08,3.769,2.721,0.831,-0.338,-2.043,0.117,-0.16,0.001,535.048,336.269
83239.283,301.651,0.961,0.893,0.383,0.216,-3.026,-0.669,1.284,1.673,1.298,-1.972,-2.029,-2.354,0.895,1.461,4.437,-2.336,3.455,2.407,0.727,-0.225,-2.032,0.156,-0.16,-0.001,535.048,336.269
83231.22,301.656,0.961,0.685,0.225,0.376,-3.242,-0.557,1.606,1.777,0.757,-0.934,-2.242,-2.568,0.224,1.879,4.015,-2.549,4.397,1.779,0.415,-0.113,-2.043,0.156,-0.16,0.001,535.048,336.269
83227.189,301.654,0.961,0.685,0.225,0.376,-3.026,-0.334,1.499,1.882,1.081,-1.557,-1.388,-3.103,0.112,1.983,3.698,-2.549,4.188,2.407,0.831,0,-2.043,0.117,-0.16,0.001,535.048,336.269
83219.126,301.665,0.961,0.374,0.067,-0.104,-2.81,-0.892,1.82,1.568,1.081,-1.245,-2.456,-3.103,0.447,1.357,4.015,-2.549,4.293,1.779,0.312,-0.113,-0.033,0.156,-0.038,0.002,535.048,336.269
83223.158,301.665,0.961,0.374,0.067,0.056,-3.242,-1.337,1.82,1.882,0.649,-1.453,-1.281,-3.103,-0.446,1.67,3.592,-2.23,3.979,2.616,0,-0.563,-0.012,0.156,-0.038,0.001,535.048,336.269
83215.095,301.665,0.961,0,-0.012,-0.584,-3.026,-1.337,1.07,1.359,1.406,-1.142,-1.708,-2.033,-0.67,1.983,4.332,-1.912,4.293,2.512,0.831,-0.788,-0.054,0.137,-0.028,0.001,535.048,336.269
83219.126,301.667,0.961,0,-0.012,0.376,-3.242,-0.78,0.428,1.568,1.19,-1.557,-1.175,-2.675,0.559,1.044,4.12,-2.124,3.769,2.407,0.623,0.338,-0.033,0.137,-0.007,0.001,535.048,336.269
83223.158,301.667,0.961,0.374,0.067,0.056,-3.134,-1.337,2.034,1.15,1.081,-1.453,-1.922,-2.033,-0.223,2.296,3.275,-1.699,3.979,1.988,0.415,-0.113,-0.033,0.117,-0.017,0.001,535.048,336.269
83223.158,301.67,0.961,0.552,0.146,-0.104,-2.918,-1.003,1.82,1.673,-0.108,-1.038,-2.029,-2.461,0.112,1.566,4.12,-2.655,3.874,2.302,0.104,-0.338,-0.054,0.117,-0.028,0.002,535.048,336.269
83219.126,301.67,0.961,0.552,0.146,-0.104,-2.81,-1.003,1.499,1.882,1.622,-2.283,-1.068,-2.033,0.783,1.67,4.12,-1.912,3.455,2.616,0.831,-1.126,-0.044,0.156,-0.017,0.002,535.048,336.269
83231.22,301.665,0.961,0.374,0.067,0.056,-2.486,-0.223,1.284,1.255,1.298,-1.142,-2.776,-2.675,0.112,1.774,4.437,-1.699,4.293,2.302,0.935,0.451,-0.023,0.117,-0.048,0,535.048,336.269
83219.126,301.668,0.961,0.552,0.146,0.056,-3.567,-0.557,2.141,1.673,1.081,-1.764,-0.854,-3.21,0.224,2.401,3.592,-2.23,3.874,2.512,1.142,-0.113,-0.033,0.137,-0.017,0.001,535.048,336.269
83231.22,301.668,0.961,0.374,0.067,-0.264,-2.486,-1.783,1.499,1.359,0.757,-1.972,-2.136,-2.033,0.224,1.357,4.543,-2.761,4.502,2.512,1.142,0.677,-0.044,0.156,-0.028,0.001,535.048,336.269
83219.126,301.67,0.961,0.552,0.146,-0.264,-3.026,-0.111,0.428,1.568,0.973,-1.245,-1.495,-2.247,0.783,1.357,4.226,-2.018,4.188,2.721,0.415,-0.113,-0.044,0.098,-0.028,0.001,535.048,336.269
