%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83251.377,301.694,0.961,0.000,-0.083,-0.144,-2.702,-0.446,1.391,1.987,1.298,-1.764,-1.068,-2.247,0.559,1.670,3.909,-2.018,3.560,2.198,0.623,-0.450,-14.026,0.002,-0.893,0.002,535.048,336.269
83251.377,301.694,0.961,0.000,-0.004,-0.144,-2.810,-0.334,1.499,1.777,1.406,-1.142,-2.349,-2.247,0.000,1.670,4.226,-2.124,4.397,1.989,1.038,0.113,-14.016,0.021,-0.893,0.003,535.048,336.269
83255.409,301.696,0.961,0.000,-0.083,-0.304,-3.242,-0.557,2.034,2.091,1.406,-0.727,-1.495,-2.889,0.224,2.714,4.015,-2.549,4.607,2.826,0.934,-0.113,-14.006,0.002,-0.893,0.004,535.048,336.269
83259.440,301.694,0.961,0.000,-0.083,0.016,-2.810,-1.560,1.391,2.300,1.406,-1.349,-1.602,-1.819,0.447,1.566,4.120,-2.549,4.398,2.721,1.246,-0.450,-14.026,0.021,-0.863,0.002,535.048,336.269
83259.440,301.694,0.961,0.000,-0.083,-0.304,-2.702,-0.446,0.749,2.300,1.514,-1.142,-1.495,-1.819,0.783,1.253,3.698,-1.593,3.665,1.884,1.038,0.226,-14.006,-0.017,-0.883,0.003,535.048,336.269
83259.440,301.696,0.961,0.000,-0.004,0.016,-3.134,-0.223,2.141,1.568,0.973,-1.142,-1.708,-2.354,0.447,1.774,4.437,-2.230,4.503,1.779,0.727,-0.113,-14.016,0.021,-0.883,0.003,535.048,336.269
83259.440,301.697,0.961,0.395,0.075,-0.144,-2.810,-0.557,1.499,2.091,0.973,-1.038,-1.708,-2.247,0.671,1.774,4.649,-2.124,4.503,2.407,0.000,0.226,-14.016,0.002,-0.883,0.003,535.048,336.269
83259.440,301.696,0.961,0.000,-0.004,0.016,-2.810,-0.669,2.355,2.300,1.298,-1.038,-1.388,-1.819,-0.223,1.670,5.071,-2.124,4.398,2.617,0.831,-0.338,-14.006,0.021,-0.883,0.004,535.048,336.269
83259.440,301.694,0.961,0.000,-0.083,-0.304,-2.918,0.112,1.177,2.300,1.406,-1.038,-1.922,-2.354,1.007,1.357,4.015,-2.230,4.398,2.826,0.623,0.451,-13.995,0.021,-0.873,0.003,535.048,336.269
83255.409,301.694,0.961,0.000,-0.004,0.176,-3.242,-0.446,1.606,1.255,1.081,-1.142,-1.815,-2.140,0.224,2.088,3.275,-2.230,4.189,2.407,1.246,0.451,-14.006,0.021,-0.903,0.003,535.048,336.269
83263.472,301.694,0.961,0.000,-0.083,0.176,-2.378,-1.226,1.820,1.987,0.649,-0.934,-1.708,-2.568,0.224,1.670,4.226,-2.336,4.293,2.303,0.415,0.113,-14.016,-0.017,-0.893,0.003,535.048,336.269
83243.315,301.702,0.961,0.395,0.075,0.336,-2.378,-0.334,1.713,1.568,1.298,-1.142,-1.388,-2.568,0.671,1.566,4.226,-2.336,4.293,1.779,0.934,0.113,-12.048,0.002,-0.741,0.003,535.048,336.269
83243.315,301.706,0.961,0.566,0.154,0.336,-2.810,-0.446,1.606,1.464,1.298,-1.557,-1.708,-2.996,0.112,2.505,4.226,-1.805,4.083,2.931,0.831,0.226,-12.069,-0.017,-0.751,0.001,535.048,336.269
83243.315,301.706,0.961,0.395,0.075,0.496,-2.810,-1.115,1.499,1.882,1.514,-1.142,-1.708,-2.033,-0.000,1.879,4.437,-1.487,4.293,2.617,2.076,-0.225,-12.048,0.021,-0.730,0.002,535.048,336.269
83247.346,301.704,0.961,0.566,0.154,0.176,-2.918,-0.669,1.820,1.464,1.514,-0.415,-1.281,-1.819,0.559,1.253,4.437,-1.805,4.188,2.721,1.038,-0.113,-12.059,0.002,-0.730,0.002,535.048,336.269
83247.346,301.704,0.961,0.000,-0.004,0.336,-2.810,-0.446,1.820,1.673,1.622,-1.038,-1.281,-2.461,-0.000,2.296,3.909,-2.018,4.502,2.198,0.727,0.451,-12.048,0.041,-0.730,0.001,535.048,336.269
83243.315,301.706,0.961,0.566,0.154,0.176,-2.162,-1.115,1.606,1.777,0.865,-0.830,-2.136,-2.461,0.671,1.879,4.860,-2.655,4.293,2.931,0.519,-0.338,-12.059,-0.017,-0.710,0.002,535.048,336.269
83247.346,301.706,0.961,0.395,0.075,0.336,-2.918,-0.446,1.927,1.673,1.298,-2.076,-1.815,-2.140,-0.000,1.566,4.015,-1.699,3.560,2.303,0.831,-0.563,-12.059,-0.036,-0.741,0.002,535.048,336.269
83251.377,301.702,0.961,0.395,0.075,0.016,-3.134,-0.000,1.391,1.673,1.081,-0.934,-2.349,-2.140,0.447,1.148,4.332,-2.124,4.397,2.826,1.246,0.226,-12.069,0.002,-0.730,0.002,535.048,336.269
83247.346,301.706,0.961,0.566,0.154,0.176,-3.567,-0.557,1.284,1.464,1.081,-1.453,-1.068,-2.461,0.336,2.088,3.803,-2.018,3.979,2.303,0.727,0.113,-12.059,0.002,-0.730,0.002,535.048,336.269
83243.315,301.706,0.961,0.566,0.154,0.176,-2.270,-1.783,1.391,1.568,0.973,-1.245,-1.495,-2.247,-0.112,1.879,4.648,-3.080,4.293,2.617,1.350,0.113,-12.059,0.041,-0.741,0.001,535.048,336.269
83247.346,301.702,0.961,0.000,-0.004,-0.144,-3.026,-0.223,1.070,1.673,0.649,-1.661,-1.602,-2.354,0.447,1.774,3.803,-1.381,3.769,2.303,1.038,-0.675,-12.069,0.002,-0.761,0.001,535.048,336.269
83247.346,301.702,0.961,0.000,-0.004,0.016,-2.810,-0.669,1.820,1.359,0.973,-1.038,-2.029,-2.140,0.559,1.670,4.543,-2.549,4.607,1.779,0.519,-0.225,-12.059,-0.017,-0.730,0.003,535.048,336.269
83243.315,301.706,0.961,0.000,-0.004,-0.144,-3.459,-0.780,2.034,1.882,0.649,-1.349,-1.388,-3.103,0.671,1.879,4.120,-2.124,4.083,2.721,0.519,0.564,-12.059,-0.036,-0.741,0.002,535.048,336.269
83243.315,301.704,0.961,0.395,0.075,0.496,-3.134,-1.560,1.606,2.196,1.298,-1.038,-1.708,-2.461,-0.447,1.670,4.226,-2.443,4.083,2.512,0.727,-0.563,-12.059,-0.036,-0.730,0.001,535.048,336.269
83247.346,301.706,0.961,0.395,0.075,-0.304,-3.675,-0.780,0.428,1.987,0.757,-1.349,-1.922,-2.033,0.559,0.939,3.698,-2.018,3.979,2.512,0.415,0.113,-12.079,-0.036,-0.741,0.002,535.048,336.269
83247.346,301.702,0.961,0.566,0.154,0.016,-2.918,-0.892,2.248,1.359,1.190,-1.245,-2.242,-2.568,0.447,2.088,3.486,-2.761,4.397,2.198,0.727,0.226,-12.048,0.002,-0.741,0.002,535.048,336.269
83251.377,301.707,0.961,0.566,0.154,0.336,-2.918,-1.560,1.606,2.405,1.190,-1.245,-1.602,-2.782,0.447,2.296,4.754,-2.336,4.397,2.512,0.623,0.338,-12.059,0.002,-0.730,0.001,535.048,336.269
83251.377,301.706,0.961,0.395,0.075,-0.144,-3.134,-1.226,1.391,2.091,1.514,-1.661,-1.815,-2.247,-0.112,1.566,4.332,-2.124,4.188,2.931,1.453,-1.013,-12.048,0.002,-0.751,0.001,535.048,336.269
